exchangeId,rank,baseSymbol,baseId,quoteSymbol,quoteId,priceQuote,priceUsd,volumeUsd24Hr,percentExchangeVolume,tradesCount24Hr,updated
bibox,63,UMA,uma,USDT,tether,3.9047790000000000,3.9050821346065027,915283.3129043109878272,0.3381057174270307,,1733988375732
bibox,64,LRC,loopring,USDT,tether,0.2812510000000000,0.2812728339914278,910076.3677591007729841,0.3361822715397260,,1733988413412
bibox,65,JST,just,USDT,tether,0.0442110000000000,0.0442144321748012,893730.1924583425893077,0.3301439932827852,,1733944914285
bibox,66,AKRO,akropolis,USDT,tether,0.0048130000000000,0.0048133736413408,871444.1814980937727115,0.3219115393332075,,1733988405919
bibox,67,BAT,basic-attention-token,ETH,ethereum,0.0000774200000000,0.3027053826884384,839071.1360049808491791,0.3099529341478739,,1733988332829
bibox,68,TRX,tron,ETH,ethereum,0.0000751600000000,0.2938689816954667,803331.9536344591151577,0.2967508777733314,,1733990573148
bibox,69,BCH,bitcoin-cash,BTC,bitcoin,0.0055473800000000,557.5905044559362449,795275.5566942257631509,0.2937748442010474,,1733990530370
bibox,70,AAVE,aave,BTC,bitcoin,0.0035179900000000,353.6079768775420379,772866.1742478101510214,0.2854968168161712,,1733988441068
bibox,71,MXC,mxc,USDT,tether,0.0071370000000000,0.0071375540573965,766927.8027360970306249,0.2833031819798220,,1733988310019
bibox,72,XCH,xch,USDT,tether,27.5100000000000000,27.5121356478881107,722733.1755320198895160,0.2669776837143283,,1733978413213
bibox,73,BAT,basic-attention-token,BTC,bitcoin,0.0000030400000000,0.3055631908299136,703840.0322936811223004,0.2599985553297185,,1733988331476
bibox,74,ONG,ontology-gas,ETH,ethereum,0.0001039300000000,0.4063571483183855,703184.6437371100026543,0.2597564547527837,,1733989958343
bibox,75,ONG,ontology-gas,USDT,tether,0.4051750000000000,0.4052064544214128,700646.9579119068201141,0.2588190334380520,,1733989959594
bibox,76,DOGE,dogecoin,ETH,ethereum,0.0001060900000000,0.4148025581169780,690100.7262050670014081,0.2549232547353045,,1733988312538
bibox,77,COMP,compound,ETH,ethereum,0.0281128900000000,109.9189243855331197,645430.5138830754438499,0.2384220752952247,,1733988365695
bibox,78,SNX,synthetix-network-token,USDT,tether,3.2816000000000000,3.2818547561653807,585075.1712124974252812,0.2161268076480547,,1733988395860
bibox,79,NXM,nxm,USDT,tether,76.8905340000000000,76.8965031423683317,553249.0167090187680198,0.2043702240311226,,1733988389558
bibox,80,ETC,ethereum-classic,BTC,bitcoin,0.0003442100000000,34.5979953669620280,545992.7259239919421824,0.2016897497264554,,1733990522799
bibox,81,MKR,maker,ETH,ethereum,0.5180056000000000,2025.3562823915547278,539647.8774824719518434,0.1993459622848612,,1733990564342
bibox,82,KSM,kusama,BTC,bitcoin,0.0003959900000000,39.8026210318215434,532012.9097807599055123,0.1965256047016683,,1733988354339
bibox,83,MBOX,mobox,USDT,tether,0.2903360000000000,0.2903585392753632,449970.6961614395581285,0.1662192054655205,,1733987630192
bibox,84,OMG,omg,BTC,bitcoin,0.0000050000000000,0.5025710375492000,442199.4173100729722986,0.1633484945344654,,1733988328891
bibox,85,ONT,ontology,USDT,tether,0.2984000000000000,0.2984231652973396,442179.0884419999114110,0.1633409850492301,,1733990270833
