id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
near-protocol,22,NEAR,NEAR Protocol,1217906155.0000000000000000,,8677216278.9846742671884175,163829776.7473396440667466,7.1247002434146285,9.9533129406018722,6.8425058289083838,https://explorer.nearprotocol.com/
internet-computer,23,ICP,Internet Computer,475590981.3440741300000000,,6530363184.2966171774715563,105467480.1040761021115189,13.7310492428621525,14.8309488806243902,12.9181219576858371,https://www.dfinityexplorer.org/#/
sp8de,24,SPX,Sp8de,7783756906.1800000000000000,,5720395492.3980813901235108,18919690.8929333364516105,0.7349144585767202,3.4693369376613752,0.7506921845913082,https://etherscan.io/token/0x05aaaa829afa407d83315cded1d45eb16025910c
multi-collateral-dai,25,DAI,Multi Collateral DAI,5365382702.6648720000000000,,5368854829.9221532075384767,19098779.8737417844240260,1.0006471350600129,0.0750669351149239,1.0004377135195404,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
aave,26,AAVE,Aave,15010786.3317303400000000,,5336283837.1615490262459954,558479323.1715968132612943,355.4966221777149899,30.6506088268530375,313.7726203986176170,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
ethereum-classic,27,ETC,Ethereum Classic,149910888.6267105000000000,210700000.0000000000000000,5187829007.0499604565093233,287809150.2380716333090882,34.6060853522658301,15.4904033828487767,33.2428700257430857,http://gastracker.io/
vechain,28,VET,VeChain,80985041177.0000000000000000,86712634466.0000000000000000,5074670830.6438758157327325,118395976.7143812312102520,0.0626618293562725,13.7052621189071909,0.0592283422156283,https://explore.veforge.com/
crypto-com-coin,29,CRO,Crypto.com Coin,25263013692.0000000000000000,30263013692.0000000000000000,4859132525.6840888488024548,33672227.2054377530774622,0.1923417603665719,13.3411790759534198,0.1872094873013500,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
fetch,30,FET,Artificial Superintelligence Alliance,2520000000.0000000000000000,2630547141.0000000000000000,4719638472.9757600680000000,167326078.3218508862284481,1.8728724099110159,8.8898250392052355,1.8110580745524055,https://etherscan.io/token/0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd
hedera-hashgraph,31,HBAR,Hedera Hashgraph,14832756028.0000000000000000,50000000000.0000000000000000,4644230829.7374336304084284,410278182.1596428246440531,0.3131063991729153,11.6554793701476794,0.2980063956089249,https://hash-hash.info/
filecoin,32,FIL,Filecoin,610812644.0000000000000000,,4262282945.4709447563424324,255371647.3158116633820697,6.9780529059757721,12.2868844554026807,6.6797723773434602,https://protocol.ai
algorand,33,ALGO,Algorand,8312522534.2961470000000000,10000000000.0000000000000000,3861568624.6468447597986522,201213055.9025919591016851,0.4645483496393094,12.6587088687221751,0.4476758544723601,https://algoexplorer.io/
monero,34,XMR,Monero,18446744.0737095500000000,,3749737864.7951958448266263,93471808.6079204597450805,203.2736969631054193,9.9087139335169755,197.3090371441319197,http://moneroblocks.info/
fantom,35,FTM,Fantom,2803634835.5265927000000000,3175000000.0000000000000000,3694478407.0584651325997257,183693227.9463248953012110,1.3177459347570668,15.9216401531266309,1.2418616539872468,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
stacks,36,STX,Stacks,1504401080.8526400000000000,1818000000.0000000000000000,3682066426.1711706300269901,52136188.3114747236028440,2.4475297665196497,11.5881082192899095,2.3537253544448071,https://explorer.xinfin.network/
okb,37,OKB,OKB,60000000.0000000000000000,,3363426137.7730619640000000,121510.5586665215522775,56.0571022962176994,4.7949499712060995,55.0637825607674721,https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c
the-graph,38,GRT,The Graph,9548531509.1654740000000000,,2820687543.9485297842163750,73390553.0230682191037189,0.2954053763388642,13.9548184313614536,0.2824001833727714,https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7
theta,39,THETA,THETA,1000000000.0000000000000000,1000000000.0000000000000000,2728477341.2898756000000000,55765163.5921742883086858,2.7284773412898756,13.2908302669619578,2.5994640239462799,https://explorer.thetatoken.org/
thorchain,40,RUNE,THORChain,340770574.0000000000000000,,2257485415.6330402359770972,91532239.1724747104446238,6.6246489218081378,7.8020875011313168,6.3528079642118503,https://explorer.binance.org/asset/RUNE-B1A
cosmos,41,ATOM,Cosmos,248453201.0000000000000000,,2253383117.1801627366958516,175922065.1968721768628910,9.0696481595347316,14.2242233151111637,8.6270800353956234,https://www.mintscan.io/
